user_id,event_name,timestamp,device,product_id,category,price,success_flag
738,start_checkout,2025-08-17 07:22:15.757776,ios,633,sports,258.12,0
2342,view_home,2025-08-17 07:23:47.757776,android,0,0,0.0,0
2314,start_checkout,2025-08-17 07:25:35.757776,android,1088,electronics,202.04,0
4773,add_to_cart,2025-08-17 07:28:07.757776,android,425,fashion,215.05,0
4515,click_category,2025-08-17 07:29:16.757776,ios,0,0,0.0,0
3322,view_cart,2025-08-17 07:37:06.757776,ios,0,0,0.0,0
3252,start_checkout,2025-08-17 07:38:03.757776,android,1478,beauty,185.34,0
3871,app_open,2025-08-17 07:40:46.757776,android,0,0,0.0,0
1435,app_open,2025-08-17 07:41:34.757776,android,0,0,0.0,0
1591,app_open,2025-08-17 07:43:23.757776,android,0,0,0.0,0
2854,view_product,2025-08-17 07:44:34.757776,ios,617,fashion,59.62,0
376,view_home,2025-08-17 07:47:37.757776,android,0,0,0.0,0
4578,start_checkout,2025-08-17 07:47:50.757776,web,1918,home,287.31,0
3486,view_home,2025-08-17 07:47:51.757776,ios,0,0,0.0,0
4166,view_home,2025-08-17 07:49:51.757776,ios,0,0,0.0,0
1622,start_checkout,2025-08-17 07:59:36.757776,ios,951,fashion,251.16,0
1640,payment_success,2025-08-17 08:00:16.757776,android,927,electronics,171.84,1
779,view_product,2025-08-17 08:02:20.757776,ios,643,fashion,163.08,0
4849,add_to_cart,2025-08-17 08:03:51.757776,ios,490,sports,83.14,0
1331,view_home,2025-08-17 08:09:41.757776,ios,0,0,0.0,0
2003,view_cart,2025-08-17 08:17:20.757776,web,0,0,0.0,0
222,app_open,2025-08-17 08:17:34.757776,android,0,0,0.0,0
3909,view_product,2025-08-17 08:22:46.757776,ios,1020,fashion,161.22,0
2870,view_product,2025-08-17 08:31:14.757776,ios,667,home,128.55,0
4093,view_home,2025-08-17 08:33:02.757776,android,0,0,0.0,0
59,click_category,2025-08-17 08:36:10.757776,ios,0,0,0.0,0
4139,view_product,2025-08-17 08:37:37.757776,android,15,beauty,24.35,0
4081,logout,2025-08-17 08:37:48.757776,android,0,0,0.0,0
1150,app_open,2025-08-17 08:42:08.757776,ios,0,0,0.0,0
1619,view_home,2025-08-17 08:43:08.757776,android,0,0,0.0,0
524,view_product,2025-08-17 08:43:58.757776,ios,1892,electronics,65.76,0
3003,view_home,2025-08-17 08:48:27.757776,android,0,0,0.0,0
4845,app_open,2025-08-17 08:49:58.757776,android,0,0,0.0,0
1686,app_open,2025-08-17 08:55:09.757776,android,0,0,0.0,0
3069,view_home,2025-08-17 09:02:23.757776,android,0,0,0.0,0
1587,view_product,2025-08-17 09:05:12.757776,android,1351,fashion,245.39,0
1648,start_checkout,2025-08-17 09:05:40.757776,android,212,beauty,96.97,0
3868,app_open,2025-08-17 09:10:15.757776,web,0,0,0.0,0
1824,view_product,2025-08-17 09:13:33.757776,android,1879,home,149.47,0
4146,add_to_cart,2025-08-17 09:13:47.757776,android,1258,fashion,13.46,0
1072,app_open,2025-08-17 09:15:56.757776,ios,0,0,0.0,0
1402,logout,2025-08-17 09:16:03.757776,ios,0,0,0.0,0
3524,app_open,2025-08-17 09:17:06.757776,android,0,0,0.0,0
3877,app_open,2025-08-17 09:18:06.757776,android,0,0,0.0,0
4191,app_open,2025-08-17 09:19:39.757776,android,0,0,0.0,0
1554,view_product,2025-08-17 09:19:45.757776,android,1189,sports,63.14,0
129,view_home,2025-08-17 09:25:55.757776,android,0,0,0.0,0
2373,view_product,2025-08-17 09:33:13.757776,ios,1941,sports,189.71,0
2233,view_product,2025-08-17 09:35:09.757776,android,1745,sports,214.78,0
4740,payment_success,2025-08-17 09:35:50.757776,android,1345,home,88.24,1
2516,view_home,2025-08-17 09:36:12.757776,android,0,0,0.0,0
1282,add_to_cart,2025-08-17 09:39:48.757776,ios,425,electronics,26.07,0
2200,add_to_cart,2025-08-17 09:41:58.757776,android,1421,sports,100.4,0
1484,view_cart,2025-08-17 09:44:34.757776,android,0,0,0.0,0
4501,view_home,2025-08-17 09:44:53.757776,ios,0,0,0.0,0
1399,app_open,2025-08-17 09:55:56.757776,android,0,0,0.0,0
3144,add_to_cart,2025-08-17 09:56:22.757776,android,749,electronics,207.81,0
4166,click_category,2025-08-17 09:57:08.757776,web,0,0,0.0,0
1242,view_product,2025-08-17 09:57:23.757776,android,1985,sports,46.83,0
3210,view_cart,2025-08-17 10:04:20.757776,ios,0,0,0.0,0
2469,start_checkout,2025-08-17 10:05:06.757776,android,505,beauty,4.83,0
706,start_checkout,2025-08-17 10:06:26.757776,ios,1029,sports,135.48,0
1670,start_checkout,2025-08-17 10:09:21.757776,ios,213,electronics,238.96,0
1911,view_home,2025-08-17 10:10:29.757776,ios,0,0,0.0,0
1535,start_checkout,2025-08-17 10:10:40.757776,android,338,home,173.91,0
660,view_home,2025-08-17 10:12:10.757776,web,0,0,0.0,0
2216,logout,2025-08-17 10:12:16.757776,android,0,0,0.0,0
1113,app_open,2025-08-17 10:12:33.757776,web,0,0,0.0,0
3466,add_to_cart,2025-08-17 10:13:50.757776,android,1853,sports,229.03,0
1543,view_cart,2025-08-17 10:16:35.757776,android,0,0,0.0,0
1984,view_cart,2025-08-17 10:18:16.757776,android,0,0,0.0,0
3011,app_open,2025-08-17 10:21:19.757776,android,0,0,0.0,0
1376,view_cart,2025-08-17 10:24:28.757776,android,0,0,0.0,0
2674,start_checkout,2025-08-17 10:26:41.757776,android,378,electronics,270.55,0
3448,view_product,2025-08-17 10:27:38.757776,android,1692,sports,93.92,0
1381,view_product,2025-08-17 10:28:24.757776,android,275,beauty,41.01,0
1447,view_cart,2025-08-17 10:30:34.757776,android,0,0,0.0,0
3897,app_open,2025-08-17 10:39:26.757776,android,0,0,0.0,0
4934,add_to_cart,2025-08-17 10:39:57.757776,android,1808,fashion,73.43,0
1792,view_cart,2025-08-17 10:42:02.757776,ios,0,0,0.0,0
